Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14826, -2.2533, 14680.1, -122.67, 14685, 118.03, 34.3236, -10.2615, 39.0054, -128.39, 37.1331, 116.512
180, 3.00000, 76.7846, 33.0463, 78.3779, -69.7607, 76.7532, 161.884, 1.22091, 156.08, 1.35327, 37.8978, 1.29353, -84.0041
300, 5.00000, 158.659, -12.0794, 195.442, -129.745, 176.426, 99.3494, 1.66108, 101.517, 2.1522, -28.5388, 1.7824, -154.634
420, 7.00000, 105.947, -64.3458, 107.208, 174.036, 95.7413, 52.9799, 0.77652, 45.4161, 0.85504, -89.6886, 0.698606, 155.875
540, 9.00000, 67.7698, -78.9625, 65.3155, 162.326, 60.4173, 42.0654, 0.367991, 30.1618, 0.396603, -104.391, 0.340685, 142.846
660, 11.00000, 50.7847, -85.0355, 48.0021, 158.365, 44.3315, 37.9618, 0.21083, 25.0007, 0.230513, -110.278, 0.201168, 137.377
780, 13.00000, 41.544, -88.8249, 38.6795, 156.529, 35.0563, 35.971, 0.133463, 23.4811, 0.150317, -113.541, 0.131464, 134.419
900, 15.00000, 35.8903, -91.948, 32.9115, 155.584, 28.8759, 34.9574, 0.0891792, 24.2988, 0.104748, -115.662, 0.0911139, 132.626
1020, 17.00000, 32.2343, -95.1055, 29.0984, 155.132, 24.3264, 34.6143, 0.0614378, 27.5687, 0.0760594, -117.159, 0.0654068, 131.505
1140, 19.00000, 29.8467, -98.8272, 26.5673, 154.984, 20.7021, 35.0073, 0.0433885, 34.3164, 0.0566658, -118.249, 0.0478708, 130.847
1260, 21.00000, 28.3193, -103.753, 25.0566, 154.931, 17.6252, 36.6254, 0.0323141, 46.0938, 0.0428502, -119.02, 0.0352639, 130.575
1380, 23.00000, 27.2788, -110.848, 24.5494, 154.447, 14.9738, 40.7806, 0.027595, 61.9811, 0.032616, -119.501, 0.0258021, 130.717
1500, 25.00000, 26.0174, -121.454, 25.1042, 152.177, 13.1518, 49.7379, 0.0282105, 73.9881, 0.0248142, -119.781, 0.01844, 131.482
